,bikeid,mean_tripduration
9800,29083,712.1827956989247
12174,32166,712.1929824561404
1585,16531,712.5054945054945
13071,33098,712.5573770491803
11424,31186,712.635761589404
10833,30558,712.6422413793103
3013,18253,712.7285714285714
5277,21160,712.8
6728,25776,712.8342541436464
4394,19951,712.8518518518518
12671,32678,712.9010989010989
4147,19632,712.9117647058823
3151,18414,712.9240506329114
13340,33374,713.0976744186047
11124,30860,713.1065573770492
6399,25441,713.2352941176471
2214,17292,713.2616033755274
8535,27811,713.3176470588236
371,14997,713.3366834170854
7991,27232,713.3443113772455
6196,25229,713.425
11442,31204,713.4545454545455
1212,16068,713.4906832298136
662,15372,713.6421052631579
13138,33165,713.7669902912621
11556,31321,713.7720207253886
1942,16967,713.9461538461538
6886,25938,713.9924812030075
9372,28653,714.0233333333333
11809,31597,714.0681818181819
4934,20744,714.1065573770492
12761,32770,714.1128205128205
7484,26717,714.3076923076923
12296,32293,714.4520547945206
5546,21459,714.5108695652174
1815,16813,714.5485714285714
2022,17061,714.560606060606
10706,30422,714.5882352941177
13163,33193,714.6186440677966
12293,32290,714.6871165644171
11064,30797,714.7397260273973
3055,18302,714.7720207253886
2979,18211,714.7942857142857
12837,32857,714.9155844155844
3829,19253,714.9238095238095
12999,33024,714.9461077844311
10983,30714,715.0201342281879
10082,29710,715.0540540540541
11635,31405,715.1049723756906
3165,18433,715.1180555555555
12289,32286,715.167487684729
11381,31139,715.1974522292994
5119,20972,715.2
11260,31009,715.2571428571429
3848,19275,715.2571428571429
1984,17013,715.3565217391305
5393,21288,715.3975155279503
12715,32724,715.4105263157895
10456,30143,715.4889867841409
733,15449,715.5974025974026
4148,19633,715.6359223300971
12598,32603,715.6909090909091
11049,30782,715.7
11968,31951,715.776
12938,32960,715.8527918781726
10258,29933,715.953667953668
12507,32508,715.9753086419753
4521,20109,715.9791666666666
8237,27512,716.0122699386503
373,15001,716.0540540540541
11088,30821,716.2741935483871
2445,17573,716.3145539906103
9789,29072,716.3154761904761
12194,32187,716.3310344827586
5839,24855,716.3717948717949
12857,32878,716.3730158730159
10777,30498,716.4059405940594
4889,20687,716.5550458715596
6533,25579,716.560975609756
13116,33143,716.6062992125984
3213,18497,716.6912751677852
11183,30924,716.8407079646017
4681,20299,716.8465608465608
10491,30184,716.8622448979592
7035,26093,716.9326923076923
5466,21366,716.9541984732824
9363,28644,717.0184615384616
8266,27542,717.0193370165746
1395,16300,717.04
12883,32904,717.0666666666667
5554,21468,717.1195652173913
1023,15822,717.155
11533,31298,717.24
11015,30747,717.268115942029
3064,18314,717.3186813186813
2064,17108,717.4297520661157
9756,29039,717.4895522388059
7639,26874,717.5076923076923
11096,30831,717.5355450236967
12802,32820,717.5756302521008
5912,24932,717.6057692307693
12011,31998,717.6107382550335
6334,25371,717.6139534883721
8932,28208,717.719512195122
2198,17275,717.723163841808
12749,32758,717.766081871345
5540,21452,717.8466257668712
8320,27596,717.8837209302326
13418,33454,717.9214285714286
11496,31259,717.9467455621302
1319,16206,717.9479166666666
13399,33435,718.0659898477157
6727,25775,718.1666666666666
13414,33450,718.2479338842975
13023,33048,718.3484848484849
11993,31980,718.409691629956
3180,18458,718.4125874125874
2518,17657,718.4835680751173
1837,16838,718.505
11046,30779,718.5502958579882
11259,31008,718.551724137931
6474,25519,718.5733333333334
11395,31157,718.6023391812865
10680,30389,718.6574074074074
12630,32636,718.7086614173228
11423,31185,718.7349397590361
1978,17007,718.7457627118644
10795,30518,718.7558139534884
6750,25798,718.7755905511812
4012,19472,718.8045454545454
11080,30813,718.8380281690141
4959,20777,718.9306930693069
11569,31336,718.9430379746835
11808,31596,719.0062111801242
10590,30288,719.0489130434783
11879,31671,719.1828571428572
4513,20100,719.2441860465116
11090,30823,719.3055555555555
12013,32000,719.4219653179191
4261,19779,719.4406779661017
7338,26552,719.4840989399294
10531,30225,719.484375
6598,25644,719.6220472440945
7447,26679,719.6568047337278
10186,29855,719.6574585635359
8202,27477,719.6784140969163
11953,31910,719.7625
7215,26423,719.7636363636364
5317,21207,719.7730496453901
13181,33211,719.7921348314607
8229,27504,719.8016877637131
12140,32131,719.8023255813954
11391,31153,719.8757062146892
5079,20927,720.0225563909775
11958,31931,720.0259067357513
11462,31225,720.04
11168,30908,720.1808510638298
